year,acres_planted,acres_harvested,production_bushels,yield_bu_per_acre
1902,,10.85,444.85,41.0
1903,,10.55,374.525,35.5
1904,,10.5,409.5,39.0
1905,,10.5,441.0,42.0
1906,,10.5,409.5,39.0
1907,,10.4,405.6,39.0
1908,,9.8,343.0,35.0
1909,,10.173,394.712,38.8
1910,,10.15,416.15,41.0
1911,,9.8,352.8,36.0
1912,,10.0,400.0,40.0
1913,,9.85,275.8,28.0
1914,,9.65,299.15,31.0
1915,,9.5,361.0,38.0
1916,,9.55,296.05,31.0
1917,,10.1,404.0,40.0
1918,,9.65,352.225,36.5
1919,,7.908,284.688,36.0
1920,,8.425,294.875,35.0
1921,,8.217,287.595,35.0
1922,,7.313,259.612,35.5
1923,,7.67,287.625,37.5
1924,,7.928,261.624,33.0
1925,,8.562,351.042,41.0
1926,9.205,8.287,298.332,36.0
1927,8.469,7.572,242.304,32.0
1928,9.231,8.345,317.11,38.0
1929,8.662,7.774,275.977,35.5
1930,9.353,8.156,220.212,27.0
1931,9.886,8.894,329.078,37.0
1932,9.866,9.253,397.879,43.0
1933,9.108,8.083,222.282,27.5
1934,8.013,6.713,148.357,22.1
1935,8.311,7.711,296.874,38.5
1936,9.327,8.168,196.032,24.0
1937,9.326,8.769,420.912,48.0
1938,8.513,8.073,355.212,44.0
1939,7.869,7.589,387.039,51.0
1940,7.645,7.324,314.932,43.0
1941,7.721,7.451,394.903,53.0
1942,7.837,7.443,401.922,54.0
1943,8.464,8.023,401.15,50.0
1944,9.226,8.804,399.702,45.4
1945,8.245,7.756,360.654,46.5
1946,8.945,8.553,478.968,56.0
1947,8.677,8.189,323.466,39.5
1948,9.298,8.965,546.865,61.0
1949,9.28,8.947,483.138,54.0
1950,8.352,8.008,408.408,51.0
1951,8.895,8.483,466.565,55.0
1952,9.034,8.728,506.224,58.0
1953,9.377,9.002,486.108,54.0
1954,9.377,8.699,439.3,50.5
1955,9.18,8.885,497.56,56.0
1956,8.737,8.477,576.436,68.0
1957,8.28,7.894,505.216,64.0
1958,8.664,8.244,568.836,69.0
1959,10.06,9.789,655.863,67.0
1960,10.425,9.985,678.98,68.0
1961,8.454,8.188,646.852,79.0
1962,8.623,8.27,702.95,85.0
1963,9.189,8.849,769.863,87.0
1964,9.608,9.253,740.24,80.0
1965,10.079,9.777,919.038,94.0
1966,10.684,10.342,848.044,82.0
1967,11.087,10.788,1121.952,104.0
1968,10.379,10.088,907.92,90.0
1969,10.081,9.698,989.196,102.0
1970,10.31,9.94,735.56,74.0
1971,10.37,10.07,1067.42,106.0
1972,9.54,9.225,1014.75,110.0
1973,9.83,9.53,981.59,103.0
1974,10.4,9.9,811.8,82.0
1975,11.1,10.81,1253.96,116.0
1976,11.9,11.59,1240.13,107.0
1977,11.55,11.28,1184.4,105.0
1978,11.45,11.17,1239.87,111.0
1979,11.3,11.05,1403.35,127.0
1980,11.7,11.44,1063.92,93.0
1981,11.6,11.32,1426.32,126.0
1982,11.7,11.44,1498.64,131.0
1983,8.2,7.9,624.1,79.0
1984,11.2,10.94,1247.16,114.0
1985,11.6,11.37,1534.95,135.0
1986,10.6,10.4,1404.0,135.0
1987,9.35,9.2,1214.4,132.0
1988,9.9,9.6,700.8,73.0
1989,10.9,10.75,1322.25,123.0
1990,10.6,10.4,1320.8,127.0
1991,11.2,11.0,1177.0,107.0
1992,11.2,11.05,1646.45,149.0
1993,10.5,10.0,1300.0,130.0
1994,11.6,11.45,1786.2,156.0
1995,10.2,10.0,1130.0,113.0
1996,11.0,10.8,1468.8,136.0
1997,11.2,10.7809,1372.414201,129.0
1998,10.6,10.45,1473.45,141.0
1999,10.8,10.65,1491.0,140.0
2000,11.2,11.05,1668.55,151.0
2001,11.0,10.85,1649.2,152.0
2002,11.1,10.742787,1418.566127,135.0
2003,11.2,11.05,1812.2,164.0
2004,11.75,11.6,2088.0,180.0
2005,12.1,11.95,1708.85,143.0
2006,11.3,11.15,1817.45,163.0
2007,13.2,13.096231,2248.664947,175.0
2008,12.1,11.9,2130.1,179.0
2009,12.0,11.8,2053.2,174.0
2010,12.6,12.4,1946.8,157.0
2011,12.6,12.35,1938.95,157.0
2012,12.8,12.263259,1253.283049,105.0
2013,12.0,11.8,2100.4,178.0
2014,11.9,11.75,2350.0,200.0
2015,11.7,11.5,2012.5,175.0
2016,11.6,11.45,2255.65,197.0
2017,11.2,11.08051,2187.782071,201.0
2018,11.0,10.8,2268.0,210.0
2019,10.5,10.2,1846.2,181.0
2020,11.3,11.1,2120.1,191.0
2021,11.0,10.85,2191.7,202.0
2022,10.8,10.421518,2143.284486,214.0
2023,11.2,11.05,2276.3,206.0
2024,10.8,10.65,2311.05,217.0
2025,11.2,11.0,2409.0,219.0
